15.01.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 197100 ; BYR ; зпл1
15.01.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 81 ; USD ; зпл2
15.01.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.01.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.01.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 70000 ; BYR ; мама
15.02.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 191300 ; BYR ; зпл1
15.02.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 85 ; USD ; зпл2
15.02.2002 ; Доход ; Государство ; Мой кошелек ; Пособие ; 86000 ; BYR ; пособие
15.02.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 117000 ; BYR ; отец
15.02.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 83000 ; BYR ; отец
15.02.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 70000 ; BYR ; мама
15.03.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 206500 ; BYR ; зпл1
15.03.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 79 ; USD ; зпл2
15.03.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 120000 ; BYR ; отец
15.03.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 85000 ; BYR ; отец
15.03.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 75000 ; BYR ; мама
15.03.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 50 ; USD ; юле к 8 марта
15.04.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 198900 ; BYR ; зпл1
15.04.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 86 ; USD ; зпл2
15.04.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 123000 ; BYR ; отец
15.04.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 77000 ; BYR ; отец
15.04.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 70000 ; BYR ; мама
15.05.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 198900 ; BYR ; зпл1
