31.12.2001 18:00:00 ; Перенос ; Для ввода стартовых остатков ; Мой кошелек ; 328 ; USD ; 0 ; USD ;   ; 
31.12.2001 18:01:00 ; Перенос ; Для ввода стартовых остатков ; Мой кошелек ; 32500 ; BYR ; 0 ; USD ;   ; 
31.12.2001 18:02:00 ; Перенос ; Для ввода стартовых остатков ; Шкаф ; 694 ; USD ; 0 ; USD ;   ; 
15.01.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 197100 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.01.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 81 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.01.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.01.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.01.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 70000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.01.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 160 ; USD ; 264200 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.01.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 87700 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.01.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 259300 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.01.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 16500 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.01.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 6100 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.01.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 110300 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.02.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 191300 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.02.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 85 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.02.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 86000 ; BYR ; 0 ; USD ; ФСЗН | Детское пособие ; пособие
15.02.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 117000 ; BYR ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.02.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 83000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; отец
15.02.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 70000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.02.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 26200 ; BYR ; 16 ; USD ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.02.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 63800 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.02.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 299700 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.02.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 24500 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.02.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 25200 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.02.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 55700 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.03.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 206500 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.03.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 79 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.03.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 120000 ; BYR ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.03.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 85000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; отец
15.03.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 75000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.03.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Подарки ; юле к 8 марта
15.03.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 104 ; USD ; 177700 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.03.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 110100 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.03.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 334300 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.03.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 18900 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.03.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 37000 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.03.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 163700 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.04.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 198900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.04.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 86 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.04.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 123000 ; BYR ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.04.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 77000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; отец
15.04.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 70000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.04.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 20 ; USD ; 34900 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.04.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 75300 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.04.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 270500 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.04.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 8500 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.04.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 51400 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.04.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 100500 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
