ОптикСофт ; Доход ; Моя з/пл официальная
Простор ; Расход ; Продукты в целом
Пособие на детей ; Доход ; Пособие
Рынки ; Расход ; Мясо
Квартиросъемщики ; Доход ; Сдача квартиры
Родственники ; Доход ; Подарки
Аптеки ; Расход ; Лекарства
АЗС ; Доход ; Топливо
Столовая водоканала ; Доход ; Обед в водоканале
Подаркополучатели ; Доход ; Прочие расходы
Почта ; Доход ; Прочие расходы
Сдать в школу ; Доход ; Прочие расходы
Минсктранс ; Доход ; Прочие расходы
ЖЭС ; Доход ; По жировке
Энергосбыт ; Доход ; Электричество
Газовщики ; Доход ; Газ
Белтелеком ; Доход ; Дом телефон
Велком ; Доход ; Прочие расходы
На карманные расходы ; Доход ; Прочие расходы
АСБ Кредит ЖСК ; Доход ; Погашение кредита ЖСК
Парничок ; Доход ; Продукты в целом
Белмаркет ; Доход ; Продукты в целом
Ома ; Доход ; Прочие расходы
