1 ; 31.12.2001 00:01 ; Перенос ; НеЗадано ; 0 ; 224 ; 162 ; -1 ; -1 ; 328 ; USD ; 0 ; USD ;   ; 
2 ; 31.12.2001 00:02 ; Перенос ; НеЗадано ; 0 ; 224 ; 162 ; -1 ; -1 ; 32500 ; BYR ; 0 ; USD ;   ; 
3 ; 31.12.2001 00:03 ; Перенос ; НеЗадано ; 0 ; 224 ; 167 ; -1 ; -1 ; 694 ; USD ; 0 ; USD ;   ; 
4 ; 15.01.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 197100 ; BYR ; 0 ; USD ;   ; зпл1
5 ; 15.01.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 81 ; USD ; 0 ; USD ;   ; зпл2
6 ; 15.01.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 70 ; USD ; 0 ; USD ;   ; отец
7 ; 15.01.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 50 ; USD ; 0 ; USD ;   ; отец
8 ; 15.01.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 70000 ; BYR ; 0 ; USD ;   ; мама
9 ; 15.01.2002 00:06 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 160 ; USD ; 264200 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
10 ; 15.01.2002 00:07 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 87700 ; BYR ; 0 ; USD ;   ; 
11 ; 15.01.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 259300 ; BYR ; 0 ; USD ;   ; 
12 ; 15.01.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 16500 ; BYR ; 0 ; USD ;   ; 
13 ; 15.01.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 6100 ; BYR ; 0 ; USD ;   ; 
14 ; 15.01.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 110300 ; BYR ; 0 ; USD ;   ; 
15 ; 15.02.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 191300 ; BYR ; 0 ; USD ;   ; зпл1
16 ; 15.02.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 85 ; USD ; 0 ; USD ;   ; зпл2
