1 ; 339 ; Сберегательная ; False ; Floating ; False ; 0 ; BYN ; False ; 0 ; Years ; карточка
2 ; 401 ; Сберегательная ; False ; Floating ; False ; 0 ; BYN ; False ; 0 ; Years ; карточка
3 ; 241 ; Сберегательная ; False ; Floating ; False ; 0 ; BYN ; False ; 0 ; Years ; карточка
4 ; 242 ; Старт! ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
5 ; 378 ; Бонус ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
6 ; 378 ; Скарбонка ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
7 ; 241 ; Сберегательный ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; вклад, после 3 мес стал "до востребования"
8 ; 330 ; Давно забытый ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; для автоматической конвертации уже закрытых депозитов, для которых правильные параметры не важны, позднее может быть заменен на правильный вид вклада
9 ; 378 ; Скарбонка2 ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
10 ; 401 ; На 10 лет ; False ; Floating ; False ; 0 ; USD ; False ; 0 ; Years ; 
11 ; 242 ; ЛР2.0 90-180 дней ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
12 ; 242 ; ЛР2.0 181-370 дней ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
13 ; 242 ; ЛР2.0 371-740 дней ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
14 ; 242 ; ЛР2.0 741-2000 дней ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
15 ; 378 ; Скарбонка3 ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
16 ; 378 ; Лови момент ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
17 ; 242 ; ЛР2.0 90-180 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
18 ; 378 ; Скарбонка4 ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
19 ; 242 ; ЛР2 181-370 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
20 ; 242 ; ЛР2 371-740 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
21 ; 242 ; ЛР2 741-2000 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
22 ; 400 ; Пора сюрпризов ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; после месяца до востребования, но сниж процентов
23 ; 241 ; Гарант 90 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
24 ; 378 ; СкарбонкаUSD ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
25 ; 395 ; Накопительный ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
26 ; 477 ; Рублю ergo sum ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
27 ; 241 ; промеж счет для процентов ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
28 ; 477 ; Рублю2 ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
29 ; 401 ; На 35 дней ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
30 ; 401 ; 2х2 ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
31 ; 401 ; Годовой ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
32 ; 347 ; Чародей+ ; False ; Fixed ; False ; 0 ; USD ; False ; 0 ; Years ; 
33 ; 339 ; Валютная шкатулка ; False ; Floating ; False ; 0 ; USD ; False ; 0 ; Years ; 
34 ; 477 ; Верное решение 6 мес ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; После 3 мес - до востребования
35 ; 242 ; Старт RUR ; False ; Fixed ; False ; 0 ; RUB ; False ; 0 ; Years ; 
36 ; 246 ; 5 звезд ; False ; Floating ; False ; 0 ; BYR ; False ; 0 ; Years ; 
37 ; 339 ; Валютная шкатулка ; False ; Floating ; False ; 0 ; RUB ; False ; 0 ; Years ; 
38 ; 401 ; Сберегательная ; False ; Floating ; False ; 0 ; USD ; False ; 0 ; Years ; 
39 ; 401 ; Сберегательная ; False ; Floating ; False ; 0 ; EUR ; False ; 0 ; Years ; 
40 ; 401 ; На 35 дней под 35% ; False ; Fixed ; False ; 0 ; BYR ; False ; 0 ; Years ; 
